"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent"
"196","Sao Tome and Principe",16,NA,1,NA,4,11,NA,73,5,19,87,"Africa"
"197","Dominica",16,NA,NA,NA,13,3,NA,222,NA,383,5320,"North America"
"198","Namibia",16,NA,NA,NA,8,8,NA,6,NA,704,277,"Africa"
"199","St. Vincent Grenadines",16,NA,NA,NA,8,8,NA,144,NA,108,973,"North America"
"200","Saint Kitts and Nevis",15,NA,NA,NA,8,7,NA,282,NA,294,5526,"North America"
"201","Nicaragua",14,NA,3,NA,7,4,NA,2,0.5,NA,NA,"North America"
"202","Falkland Islands",13,NA,NA,NA,13,0,NA,3736,NA,388,111494,"South America"
"203","Turks and Caicos",12,NA,1,NA,5,6,NA,310,26,83,2144,"North America"
"204","Burundi",11,NA,1,NA,4,6,NA,0.9,0.08,284,24,"Africa"
"205","Montserrat",11,NA,1,NA,2,8,1,2204,200,36,7212,"North America"
"206","Greenland",11,NA,NA,NA,11,0,NA,194,NA,1271,22389,"North America"
"207","Vatican City",11,NA,NA,NA,2,9,NA,13733,NA,NA,NA,"Europe"
"208","Seychelles",11,NA,NA,NA,6,5,NA,112,NA,NA,NA,"Africa"
"209","Yemen",10,3,2,NA,1,7,NA,0.3,0.07,120,4,"Asia"
"210","Suriname",10,NA,1,NA,8,1,NA,17,2,404,689,"South America"
"211","MS Zaandam",9,NA,2,NA,NA,7,NA,NA,NA,NA,NA,""
"212","Mauritania",8,NA,1,NA,6,1,NA,2,0.2,1032,222,"Africa"
"213","Papua New Guinea",8,NA,NA,NA,NA,8,NA,0.9,NA,604,68,"Australia/Oceania"
"214","Bhutan",7,NA,NA,NA,5,2,NA,9,NA,10548,13670,"Asia"
"215","British Virgin Islands",6,NA,1,NA,3,2,NA,198,33,NA,NA,"North America"
"216","Caribbean Netherlands",6,NA,NA,NA,NA,6,NA,229,NA,110,4195,"North America"
"217","St. Barth",6,NA,NA,NA,6,0,NA,607,NA,NA,NA,"North America"
"218","Western Sahara",6,NA,NA,NA,5,1,NA,10,NA,NA,NA,"Africa"
"219","Anguilla",3,NA,NA,NA,3,0,NA,200,NA,NA,NA,"North America"
"220","Comoros",3,2,NA,NA,NA,3,NA,3,NA,NA,NA,"Africa"
"221","Saint Pierre Miquelon",1,NA,NA,NA,NA,1,NA,173,NA,NA,NA,"North America"
"222","China",82875,1,4633,NA,77685,557,37,58,3,NA,NA,"Asia"
